Name,Style,ABV,BreweryID,BeerID
Fall Back Brown,Brown,5.4,4,116
Oktoberfest Märzen Lager,Oktoberfest,5.8,4,117
Pub Ale,Ale,4.8,4,118
Mocha Stout,Stout,7.5,4,119
Block Party Lemon Strawberry Ale,Ale,4.7,4,120
Idle Pale Ale,Ale,4.6,4,121
Shaka IPA,IPA,5.0,4,122
Easy Way IPA,IPA,5.4,4,123
Coastline IPA,IPA,7.0,4,124
Showtime IPA,IPA,6.0,4,125
Double Secret Hard Way IPA,IPA,9.1,4,126
One Hop IPA,IPA,8.0,4,127
Radical Candor Double IPA,IPA,8.9,4,128
Jackpot IPA,IPA,7.0,4,129
King Martin,,10.1,4,130
Hop House Saison,Saison,7.9,4,131
Bourbon Barrel Abbey,,7.2,4,132
The Poitier,,9.3,4,133
Kentucky Friar,,11.8,4,134
Anniversary Stout,Stout,11.0,4,135
Yes Way José with Lime,with,4.7,4,136
Rich with Love,with,9.5,4,137
Old Glory Pilsner,Pilsner,5.0,4,138
Holiday Apple Ale,Ale,4.8,4,139
Peanut Butter Porter,,5.5,4,140
Forgotten Farmhouse Ale,Ale,6.2,4,141
Yes Way José,,4.7,4,142
Apple Ale,Ale,4.8,4,143
Anniversary Abbey,,13.0,4,144
